package_name,version,license_type,source_project
email_validator,2.1.1,The Unlicense (Unlicense),management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
et_xmlfile,2.0.0,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
executing,2.0.1,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
fastapi,0.128.0,MIT,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
fastjsonschema,2.21.2,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
filelock,3.20.1,Unlicense,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
findpython,0.7.1,MIT,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
Flask,3.1.2,BSD-3-Clause,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
flask-cors,6.0.2,MIT,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
flatbuffers,25.12.19,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
frozenlist,1.8.0,Apache-2.0,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
fsspec,2024.2.0,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
gitdb,4.0.12,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
GitPython,3.1.45,BSD-3-Clause,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
google-api-core,2.28.1,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
google-auth,2.28.2,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
google-cloud-appengine-logging,1.7.0,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
google-cloud-audit-log,0.4.0,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
google-cloud-bigquery,3.39.0,Apache-2.0,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
google-cloud-core,2.5.0,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
google-cloud-logging,3.13.0,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
google-cloud-monitoring,2.29.1,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
google-cloud-spanner,3.63.0,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
google-cloud-storage,3.7.0,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
google-crc32c,1.8.0,UNKNOWN,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
google-resumable-media,2.8.0,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
googleapis-common-protos,1.72.0,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
graphviz,0.20.1,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
greenlet,3.0.3,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
griffe,0.41.3,ISC,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
grpc-google-iam-v1,0.14.3,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
grpc-interceptor,0.15.4,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
grpcio,1.76.0,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
grpcio-status,1.76.0,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
h11,0.14.0,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
h2,4.1.0,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
hf-xet,1.2.0,Apache-2.0,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
hpack,4.0.0,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
httpcore,1.0.4,BSD-3-Clause,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
httptools,0.7.1,MIT,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
httpx,0.28.1,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
httpx-sse,0.4.3,MIT,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
huggingface-hub,0.36.0,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
humanfriendly,10.0,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
hyperframe,6.0.1,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
